Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
Undefined_mixed_planktonic.co.146	k__Bacteria (UID203)	5449	104	58	0.16	0.00	0.00	1929642	0	493	493	4171	4171	3914	3914	33258	33258	53.9344085587	6.05	0.943982355276	11	2954	103	1	0	0	0	0	1	0	UID3311	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	f__Sphingomonadaceae;g__Sphingomonas	53.9344085587	1.929642	2954	0.943982355276	11	23	64.8638541948	1.78354021281	3.83072286957	0.594987771532	3674.08695652	498.161394577
Undefined_mixed_planktonic.co.147	k__Bacteria (UID1452)	924	161	108	25.41	0.31	0.00	386174	0	127	127	3058	3058	3040	3040	8725	8725	38.1680278838	4.99	0.916957122955	11	398	116	42	3	0	0	0	10	3	UID2307	k__Bacteria	p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__Chthonomonas_calidirosea	38.1680278838	0.386174	398	0.916957122955	11	23	55.9597818041	5.95590811758	3.90703395652	1.73333076608	3352.7826087	1254.52443636
Undefined_mixed_planktonic.co.145	k__Archaea (UID2)	207	149	107	46.03	0.00	0.00	554818	0	138	138	4320	4320	4020	4020	16739	16739	36.4405985386	2.18	0.909860530841	11	705	74	75	0	0	0	0	27	0	UID1	k__Archaea (root)	k__Archaea	36.4405985386	0.554818	705	0.909860530841	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
KR11_S3.co.38	k__Bacteria (UID1452)	924	161	108	37.31	0.00	0.00	492254	0	117	117	4553	4553	4207	4207	11788	11788	39.1612866528	3.76	0.936516513832	11	584	80	81	0	0	0	0	36	0	UID2307	k__Bacteria	p__Armatimonadetes;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadaceae;g__Chthonomonas;s__Chthonomonas_calidirosea	39.1612866528	0.492254	584	0.936516513832	11	23	55.9597818041	5.95590811758	3.90703395652	1.73333076608	3352.7826087	1254.52443636
KR11_S3.co.39	c__Deltaproteobacteria (UID3216)	83	247	155	14.59	1.36	0.00	1109797	0	375	375	2777	2777	2959	2959	22622	22622	50.5668153725	4.49	0.878640868555	11	1246	183	60	4	0	0	0	21	2	UID3278	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	o__Desulfuromonadales;f__Geobacteraceae;g__Geobacter;s__Geobacter_sulfurreducens	50.5668153725	1.109797	1246	0.878640868555	11	21	63.1862370411	7.35688494041	5.56829371429	2.22623555555	4800.0952381	1569.45331412
Undefined_mixed_planktonic.co.140	k__Bacteria (UID203)	5449	104	58	73.67	30.07	0.00	1046079	0	312	312	3306	3306	3352	3352	11256	11256	40.9773066853	3.40	0.900887026697	11	1278	21	40	40	3	0	0	12	24	UID1	k__Bacteria (root)	k__Bacteria	40.9773066853	1.046079	1278	0.900887026697	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
Undefined_mixed_planktonic.co.141	root (UID1)	5656	56	24	0.00	0.00	0.00	1229959	0	188	188	8740	8740	6542	6542	48865	48865	50.2324874244	9.32	0.906556234801	11	1968	56	0	0	0	0	0	0	0	NA	NA	unresolved	50.2324874244	1.229959	1968	0.906556234801	11	NA	NA	NA	NA	NA	NA	NA
KR11_S3.co.34	k__Bacteria (UID2495)	2993	143	89	38.27	12.96	36.84	680697	0	233	233	2807	2807	2921	2921	8058	8058	42.1141859006	3.06	0.953528515624	11	963	77	51	13	2	0	0	16	5	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__	42.1141859006	0.680697	963	0.953528515624	11	72	38.9697421605	10.3693638763	2.60865927778	1.034157916	2440.63888889	952.666641963
KR11_S3.co.35	c__Deltaproteobacteria (UID3217)	62	280	168	91.80	1.37	0.00	3523776	0	246	246	20031	20031	14324	14324	61611	61611	50.3798765869	3.04	0.875234691422	11	3112	43	233	4	0	0	0	23	2	UID3234	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae	g__Desulfurivibrio;s__Desulfurivibrio_alkaliphilus	50.3798765869	3.523776	3112	0.875234691422	11	6	55.1405247934	6.45899433359	4.1957145	0.877583816614	3694.83333333	741.692977061
KR11_S3.co.36	root (UID1)	5656	56	24	0.00	0.00	0.00	13756	0	5	5	2628	2628	2751	2751	3822	3822	67.0034893864	1.83	0.946277987787	11	17	56	0	0	0	0	0	0	0	NA	NA	unresolved	67.0034893864	0.013756	17	0.946277987787	11	NA	NA	NA	NA	NA	NA	NA
