Bin Id	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
KR13_S3.mb.106	k__Bacteria (UID203)	5449	104	58	11.38	0.00	0.00	1145600	0	398	398	2823	2823	2878	2878	7056	7056	62.8011522346	4.52	0.903081354749	11	1405	95	9	0	0	0	0	1	0	UID1639	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter	g__Renibacterium;s__Renibacterium_salmoninarum	62.8011522346	1.1456	1405	0.903081354749	11	2	59.2762324595	3.00490689096	2.7873845	0.3678655	2972.5	585.5
KR13_S3.mb.107	p__Euryarchaeota (UID49)	95	228	153	56.12	1.31	50.00	1184884	0	280	280	4376	4376	4231	4231	30898	30898	45.3625840167	1.96	0.90728121909	11	1514	89	137	2	0	0	0	32	0	UID60	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales	f__;g__;s__	45.3625840167	1.184884	1514	0.90728121909	11	11	41.0744786565	2.19916782413	3.27194190909	1.12292978568	3063.18181818	781.250957024
KR13_S3.mb.104	k__Bacteria (UID2565)	2921	152	93	40.51	1.36	20.00	463940	0	151	151	3001	3001	3072	3072	9088	9088	46.8756735785	2.98	0.942115359745	11	595	81	66	5	0	0	0	22	3	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae	46.8756735785	0.46394	595	0.942115359745	11	88	44.2282294983	7.81376598976	2.42188205682	2.19213346454	2142.11363636	1851.65080175
KR13_S3.mb.105	k__Bacteria (UID2565)	2921	152	93	89.27	7.53	11.11	1976182	0	192	192	17816	17816	10292	10292	55231	55231	39.0979676973	1.80	0.923817239505	11	1946	15	132	3	2	0	0	38	0	UID2982	k__Bacteria	p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae	39.0979676973	1.976182	1946	0.923817239505	11	88	44.2282294983	7.81376598976	2.42188205682	2.19213346454	2142.11363636	1851.65080175
KR13_S3.mb.102	k__Bacteria (UID203)	5449	104	58	26.72	0.00	0.00	356618	0	124	124	2856	2856	2875	2875	8244	8244	38.1786673696	2.38	0.935802455288	11	448	84	20	0	0	0	0	4	0	UID223	k__Bacteria	p__Synergistetes;c__Synergistia;o__Synergistales;f__Synergistaceae	38.1786673696	0.356618	448	0.935802455288	11	5429	49.3028086303	13.0497836745	3.81165364082	1.82621008675	3598.01565666	1663.23352454
KR13_S3.mb.103	k__Bacteria (UID2565)	2921	142	87	96.48	5.75	50.00	4207605	0	343	343	19275	19275	12267	12267	64731	64731	60.8023329186	3.17	0.842278921144	11	3825	4	134	3	1	0	0	43	0	UID2986	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae	g__Rhodopirellula	60.8023329186	4.207605	3825	0.842278921144	11	8	55.2819402498	2.11687846989	6.901072625	0.991647428042	5958.25	1082.44996998
KR13_S3.mb.100	k__Archaea (UID2)	207	148	106	7.86	1.89	100.00	568938	0	125	125	5235	5235	4551	4551	24992	24992	36.9808309517	1.67	0.912136296046	11	650	138	8	2	0	0	0	1	0	UID141	k__Archaea;p__Euryarchaeota	unresolved	36.9808309517	0.568938	650	0.912136296046	11	6	40.3223971833	3.64665690825	1.5808185	0.136625095213	1621.16666667	55.2250446406
KR13_S3.mb.101	c__Alphaproteobacteria (UID3422)	26	529	308	92.90	2.96	35.71	3840783	0	494	494	9884	9884	7774	7774	39567	39567	67.3563437455	1.85	0.888586780352	11	3944	74	441	14	0	0	0	15	1	UID3436	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter	s__	67.3563437455	3.840783	3944	0.888586780352	11	4	67.591375102	0.604026659217	4.8978735	0.872372431505	4596.5	736.163874419
KR13_S3.mb.108	k__Bacteria (UID2565)	2921	143	88	36.53	0.00	0.00	660643	0	228	228	2895	2895	2897	2897	8526	8526	58.4420027155	2.02	0.899457044122	11	699	96	47	0	0	0	0	17	0	UID2983	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae	unresolved	58.4420027155	0.660643	699	0.899457044122	11	11	53.2536077313	6.59699903983	6.27668727273	1.36762595276	5441.09090909	1274.33379775
KR13_S3.mb.109	k__Archaea (UID2)	207	149	107	2.04	0.65	0.00	232659	0	76	76	3026	3026	3061	3061	11210	11210	30.9117635681	6.22	0.907581481911	11	275	136	6	5	2	0	0	3	5	UID1	k__Archaea (root)	k__Archaea	30.9117635681	0.232659	275	0.907581481911	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
Modern_marine_glass_biofilm.mb.157	k__Bacteria (UID1452)	924	161	108	29.51	0.00	0.00	352202	0	109	109	3306	3306	3231	3231	6837	6837	43.475335177	3.15	0.829345091737	11	429	111	50	0	0	0	0	13	0	UID2307	k__Bacteria	p__Chloroflexi	43.475335177	0.352202	429	0.829345091737	11	23	55.9597818041	5.95590811758	3.90703395652	1.73333076608	3352.7826087	1254.52443636
Modern_marine_glass_biofilm.mb.156	k__Bacteria (UID203)	5449	104	58	17.68	0.00	0.00	233299	0	78	78	2938	2938	2991	2991	6864	6864	39.9307326649	3.41	0.921401291904	11	291	84	20	0	0	0	0	6	0	UID3061	k__Bacteria;p__Proteobacteria	c__Epsilonproteobacteria	39.9307326649	0.233299	291	0.921401291904	11	115	34.943415927	5.4594829941	1.85581446087	0.335223327464	1927.9826087	362.684243616
Modern_marine_glass_biofilm.mb.155	k__Archaea (UID2)	207	149	107	88.55	2.80	0.00	1597359	0	136	136	17744	17744	11745	11745	78208	78208	35.8867355429	1.33	0.909071786618	11	1853	14	132	3	0	0	0	43	0	UID1	k__Archaea (root)	unresolved	35.8867355429	1.597359	1853	0.909071786618	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
Modern_marine_glass_biofilm.mb.154	root (UID1)	5656	56	24	0.00	0.00	0.00	254555	0	51	51	5263	5263	4991	4991	24861	24861	63.4193003477	2.13	0.922024709788	11	250	56	0	0	0	0	0	0	0	NA	NA	unresolved	63.4193003477	0.254555	250	0.922024709788	11	NA	NA	NA	NA	NA	NA	NA
Modern_marine_glass_biofilm.mb.153	k__Bacteria (UID2495)	2993	147	91	43.15	1.10	0.00	3457132	0	1136	1136	2986	2986	3043	3043	10496	10496	70.1281582537	2.20	0.910834472042	11	3740	82	64	1	0	0	0	14	0	UID2567	k__Bacteria	p__Gemmatimonadetes;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas;s__Gemmatimonas_aurantiaca	70.1281582537	3.457132	3740	0.910834472042	11	437	42.2586454603	6.79030286123	4.14570185126	1.51362052744	3610.01372998	1216.80246458
Modern_marine_glass_biofilm.mb.152	k__Bacteria (UID1453)	901	171	117	97.01	0.85	0.00	3770504	0	88	88	72204	72204	42846	42846	195043	195043	64.4529749869	1.84	0.902018669122	11	3342	4	166	1	0	0	0	42	0	UID1454	k__Bacteria;p__Actinobacteria;c__Actinobacteria	unresolved	64.4529749869	3.770504	3342	0.902018669122	11	732	64.747463765	6.97303493583	4.43816571721	2.15864758581	4122.23224044	1980.73954993
Modern_marine_glass_biofilm.mb.151	k__Bacteria (UID1453)	901	171	117	88.89	0.85	0.00	1792374	0	22	22	138732	138732	81471	81471	325123	325123	42.2871007948	3.16	0.95016441881	11	1651	14	156	1	0	0	0	42	0	UID2142	k__Bacteria	p__Cyanobacteria	42.2871007948	1.792374	1651	0.95016441881	11	169	50.1629813722	12.0228236511	4.39149491716	1.99838199454	4148.5443787	1625.20651017
Modern_marine_glass_biofilm.mb.150	k__Bacteria (UID203)	5449	103	57	64.75	12.25	4.35	1094068	0	293	293	3971	3971	3734	3734	16658	16658	34.6896170988	5.06	0.918269248347	11	1182	26	60	14	3	0	0	24	11	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi	34.6896170988	1.094068	1182	0.918269248347	11	8	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
Modern_marine_glass_biofilm.mb.159	k__Archaea (UID2)	207	149	107	72.59	0.93	0.00	828603	0	178	178	4975	4975	4655	4655	21029	21029	48.754831928	1.50	0.925965751995	11	1064	38	110	1	0	0	0	34	0	UID1	k__Archaea (root)	k__Archaea	48.754831928	0.828603	1064	0.925965751995	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
Modern_marine_glass_biofilm.mb.158	k__Bacteria (UID1452)	924	161	108	81.02	0.93	0.00	1157497	0	67	67	27960	27960	17276	17276	75624	75624	46.7244407545	2.03	0.926855102	11	1046	21	139	1	0	0	0	41	0	UID2307	k__Bacteria	unresolved	46.7244407545	1.157497	1046	0.926855102	11	23	55.9597818041	5.95590811758	3.90703395652	1.73333076608	3352.7826087	1254.52443636
OS_PC_MetaG.mb.18	c__Deltaproteobacteria (UID3216)	83	247	155	47.81	0.15	0.00	2466466	0	728	728	3428	3428	3388	3388	11421	11421	43.5111207696	4.65	0.871522656303	11	2688	137	104	6	0	0	0	14	2	UID3222	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobacteraceae	g__Desulfotignum	43.5111207696	2.466466	2688	0.871522656303	11	10	47.573190738	4.42758846031	4.9265228	0.75252118178	4496.4	598.472422088
OS_PC_MetaG.mb.19	k__Bacteria (UID203)	5449	104	58	66.51	0.86	100.00	388921	0	57	57	9286	9286	6823	6823	19592	19592	37.8992134649	2.24	0.9148747432	11	485	25	78	1	0	0	0	36	0	UID1	k__Bacteria (root)	k__Bacteria	37.8992134649	0.388921	485	0.9148747432	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
Old_saline.mb.34	k__Bacteria (UID203)	5449	103	57	78.95	0.00	0.00	4583478	0	173	173	42787	42787	26494	26494	119019	119019	62.1606998005	1.73	0.891144672234	11	4263	51	52	0	0	0	0	9	0	UID4513	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	s__	62.1606998005	4.583478	4263	0.891144672234	11	6	62.2815364412	2.58021854953	4.96972916667	0.150097692723	4600.83333333	135.858279918
Old_saline.mb.35	k__Bacteria (UID1453)	901	171	117	93.07	2.99	0.00	2915784	0	318	318	16219	16219	9169	9169	89272	89272	68.071914792	6.90	0.915621664705	11	3022	11	156	4	0	0	0	41	0	UID1455	k__Bacteria;p__Actinobacteria;c__Actinobacteria	o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidimicrobium;s__Acidimicrobium_ferrooxidans	68.071914792	2.915784	3022	0.915621664705	11	701	64.9347552715	6.79360806754	4.49661965906	2.15301080913	4175.64194009	1972.29652275
Old_saline.mb.32	root (UID1)	5656	56	24	0.00	0.00	0.00	268379	0	7	7	52688	52688	38339	38339	125549	125549	59.9368803073	0.83	0.871446722732	11	279	56	0	0	0	0	0	0	0	NA	NA	unresolved	59.9368803073	0.268379	279	0.871446722732	11	NA	NA	NA	NA	NA	NA	NA
Old_saline.mb.33	p__Bacteroidetes (UID2605)	350	315	209	98.09	0.16	0.00	3595463	0	77	77	75774	75774	46694	46694	379088	379088	34.5655900228	5.98	0.90192500938	11	3281	4	310	1	0	0	0	42	0	UID2608	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter	unresolved	34.5655900228	3.595463	3281	0.90192500938	11	4	39.470605514	4.21311746455	4.90292325	0.652457893304	4240.0	612.436527323
Old_saline.mb.30	k__Archaea (UID2)	207	149	107	67.99	0.00	0.00	613446	0	84	84	10145	10145	7302	7302	31962	31962	37.1123130642	1.81	0.874980030842	11	826	40	109	0	0	0	0	38	0	UID1	k__Archaea (root)	k__Archaea	37.1123130642	0.613446	826	0.874980030842	11	5656	49.2752660014	13.0081081425	3.76173456931	1.81655134913	3559.91760962	1650.82761538
Old_saline.mb.31	c__Deltaproteobacteria (UID3216)	83	247	155	81.94	1.61	25.00	4548028	0	496	496	13458	13458	9169	9169	78529	78529	64.0952958073	2.78	0.917756223137	11	3839	31	212	4	0	0	0	43	0	UID3291	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales	unresolved	64.0952958073	4.548028	3839	0.917756223137	11	8	71.7531229546	2.85067973745	7.565088125	2.48322934779	6206.125	1736.82472039
