taxa	name	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
KR11_0.1_MetaG.001.2k	KR11_0.1_MetaG.001.2k	c__Alphaproteobacteria (UID3422)	26	529	308	43.5	0.65	0.0	810060	0	148	148	6972	6972	5473	5473	18208	18208		1.85			919	296	231	2	0	0	0	31	0	UID3440	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	unresolved		0.81006	919			5.0	67.4801846146	0.7217883714309999	3.3624632000000005	0.171649814813	3364.4	173.002427729
KR11_0.1_MetaG.002.2k	KR11_0.1_MetaG.002.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	946512	0	278	278	3261	3261	3404	3404	40152	40152		8.32			1561	56	0	0	0	0	0	0	0			unresolved		0.9465120000000001	1561									
KR11_0.1_MetaG.003.2k	KR11_0.1_MetaG.003.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	287510	0	75	75	3786	3786	3833	3833	14428	14428		10.25			502	56	0	0	0	0	0	0	0			unresolved		0.28751	502									
KR11_0.1_MetaG.004.2k	KR11_0.1_MetaG.004.2k	k__Bacteria (UID203)	5449	104	58	38.79	0.0	0.0	1962049	0	353	353	6577	6577	5558	5558	31454	31454		2.19			2230	77	27	0	0	0	0	1	0	UID3440	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	unresolved		1.9620490000000002	2230			5.0	67.4801846146	0.7217883714309999	3.3624632000000005	0.171649814813	3364.4	173.002427729
KR11_0.1_MetaG.005.2k	KR11_0.1_MetaG.005.2k	c__Alphaproteobacteria (UID3422)	26	529	308	7.38	0.0	0.0	108399	0	37	37	2789	2789	2929	2929	7460	7460		4.24			115	476	53	0	0	0	0	16	0	UID3431	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales_2;f__Hyphomonadaceae	o__Rhodobacterales;g__Hyphomonas;s__Hyphomonas_neptunium		0.108399	115			2.0	60.932466924399996	0.997816331724	3.491393	0.213628	3418.5	158.5
KR11_0.1_MetaG.006.2k	KR11_0.1_MetaG.006.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	2940419	0	834	834	3390	3390	3525	3525	45772	45772		7.73			4928	56	0	0	0	0	0	0	0			unresolved		2.940419	4928									
KR11_0.1_MetaG.007.2k	KR11_0.1_MetaG.007.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	381218	0	102	102	3434	3434	3737	3737	33295	33295		6.48			654	56	0	0	0	0	0	0	0			unresolved		0.381218	654									
KR11_0.1_MetaG.008.2k	KR11_0.1_MetaG.008.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	199145	0	57	57	3992	3992	3493	3493	7805	7805		3.96			302	56	0	0	0	0	0	0	0			unresolved		0.19914500000000002	302									
KR11_0.1_MetaG.009.2k	KR11_0.1_MetaG.009.2k	c__Alphaproteobacteria (UID3422)	26	529	308	87.07	6.44	0.0	3693193	0	669	669	7123	7123	5520	5520	39795	39795		2.73			4092	81	418	30	0	0	0	21	3	UID3431	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales_2;f__Hyphomonadaceae	o__Rhodobacterales;g__Hyphomonas;s__Hyphomonas_neptunium		3.693193	4092			2.0	60.932466924399996	0.997816331724	3.491393	0.213628	3418.5	158.5
KR11_0.1_MetaG.010.2k	KR11_0.1_MetaG.010.2k	o__Burkholderiales (UID4000)	193	427	214	99.8	1.4	20.0	4188753	0	46	46	162960	162960	91059	91059	358589	358589		2.9			3877	3	419	5	0	0	0	41	1	UID4131	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	g__Rhodoferax;s__Rhodoferax_ferrireducens		4.188753	3877			5.0	61.5817556896	1.8617564789400003	5.1360002	0.491724491258	4882.8	444.346441417
KR11_0.1_MetaG.011.2k	KR11_0.1_MetaG.011.2k	k__Bacteria (UID1452)	924	163	110	9.99	3.84	0.0	8051773	0	2285	2285	3384	3384	3523	3523	52162	52162		5.88			13940	136	23	3	0	1	0	14	1	UID1453	k__Bacteria	p__Actinobacteria;c__Actinobacteria		8.051772999999999	13940			901.0	62.0118616292	9.95136390082	4.42941170477	2.12958381111	4127.16759156	1919.10514423
KR11_0.1_MetaG.012.2k	KR11_0.1_MetaG.012.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	156407	0	49	49	2954	2954	3191	3191	8309	8309		1.33			312	56	0	0	0	0	0	0	0			unresolved		0.156407	312									
